                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9197,                 3.3828,                 1.5678,                0.24922,                0.13028,                0.15734,                0.07778,                 1.4087,                 2.6317,                 1.3567,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.4938,                   1.61,                 1.3065,                0.39821,                0.60563,                0.48253,                0.31617,                 1.2093,                 1.9922,                 1.1596,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.2713,                 1.1609,                 1.1244,                0.59393,                0.50634,                0.55889,                0.35547,                  1.234,                   2.43,                 1.1723,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.2128,                  1.001,                 1.1067,                 0.5819,                0.60013,                0.63484,                0.41471,                 1.1916,                 1.5028,                 1.1248,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.1699,                0.91312,                 1.0884,                0.64413,                0.70211,                0.71097,                0.43549,                 1.3668,                 1.2785,                 1.2701,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.1948,                0.82958,                  1.099,                0.74462,                0.55563,                0.67784,                0.40683,                 1.3398,                 1.9375,                 1.2605,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.1554,                0.78145,                 1.0685,                0.52407,                0.52201,                 0.5533,                0.33369,                  1.329,                 1.4465,                 1.2351,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.1821,                0.82188,                 1.1163,                0.36257,                0.36056,                0.30487,                 0.1801,                 1.3907,                 2.0796,                 1.3035,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.1655,                0.84626,                 1.1014,                0.53796,                0.51105,                0.45317,                0.22621,                 1.5437,                 1.8598,                 1.4175,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.1204,                0.78341,                 1.0824,                0.63935,                0.60246,                0.61967,                0.32073,                 1.6055,                  1.323,                 1.4198,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.0994,                0.70165,                 1.0669,                0.47027,                0.59437,                0.45322,                0.22694,                 1.4789,                 1.7901,                 1.3311,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.1109,                0.73956,                 1.0845,                0.75668,                0.50658,                0.58936,                0.34043,                 1.4771,                 1.4641,                 1.3313,              0.0012329,              0.0012329,              0.0012329
